城市,GDP(亿),人口(万),财政收入(亿元),支出(亿元),三产比例,医院数量,医生数量(万),旅客(万),货物(万吨),人均工资(元),商品零售额(亿),进出口额(M$),高校学生(万),房价(元),销售面积(万m2)
北京,21330.83,1333.4,4027.16,4524.67,0.779,672,7.99,65063,26551,103400,9638,415538.1,60.4578,18833,1454.19
天津,15726.93,1016.66,2390.35,2884.7,0.496,631,3.33,18300,49753,73839,4738.7,160846.57,50.5795,9219,1612.98
沈阳,7098.71,730.84,785.5,914.37,0.455,340,2.38,25397,23488,56590,3570.1,15800.29,39.9694,6217,1498.4
大连,7655.58,594.29,780.86,989.46,0.459,295,1.79,13580,43670,63609,2828.4,65774.26,28.6224,9216,746.4
长春,5342.43,754.55,397.32,675.84,0.411,301,1.88,12378,10544,56977,2217.5,20728.75,41.4582,6261,758.84
哈尔滨,5340.07,987.29,423.52,740.08,0.549,456,2.04,13989,10169,51554,3070.9,6807.96,50.6425,6182,1041.05
上海,23567.7,1438.69,4585.55,4923.44,0.648,637,6.12,13317,89980,100623,9303.5,466622.26,50.6644,16787,2084.66
南京,8820.75,648.72,903.49,921.2,0.565,207,2.16,16088,30904,77286,4167.2,57220.77,80.5338,11198,1207.58
杭州,9206.16,715.76,1027.32,961.18,0.552,307,3.2,24070,29335,70823,4201.5,67997.75,47.47,13896,1122.91
福州,5169.16,674.94,510.87,574.81,0.465,230,1.78,13785,23093,58838,3062.9,34663.17,32.0844,10719,965.6
厦门,3273.58,203.44,543.8,548.25,0.547,56,0.92,7916,23545,63062,1072.3,83553.11,15.8346,15378,790.21
济南,5770.6,621.61,543.13,571.41,0.558,265,2.48,4241,19558,62323,3087.6,10500.14,70.0394,7369,865.35
青岛,8692.1,780.64,895.25,1074.71,0.512,297,2.49,9854,26061,62097,3361.7,79888.33,31.3486,8344,1163.53
武汉,10069.48,827.31,1101.02,1175.1,0.49,266,2.95,28145,48530,60624,4369.3,26428.87,96.2106,7951,2273.16
长沙,7824.81,671.41,632.8,802.38,0.418,276,2.43,12745,30251,61847,3162.1,12561.3,54.7514,6116,1518.47
广州,16706.87,842.42,1243.1,1436.22,0.652,255,4.07,98062,95645,74246,7144.5,130589.8,101.9291,15719,1540.02
深圳,16001.82,332.21,2082.44,2166.14,0.574,124,2.69,15113,29384,73492,4844,487765.01,8.7674,24723,532.57
南宁,3148.3,729.66,274.85,465.78,0.485,211,2.12,8697,33582,54330,1616.9,4814.1,35.6236,6627,802.57
重庆,14262.6,3375.2,1922.02,3304.39,0.468,1510,5.81,68399,97377,56852,5710.7,95450.24,69.1555,5519,5100.39
成都,10056.59,1210.74,1025.17,1340,0.516,746,4.82,21523,28051,63201,4468.9,55844.39,72.9338,7032,2951.3
